# nhpx, l , b
701, 176.3072, -48.8370
702, 176.2838, -48.8527
703, 176.2854, -48.8383
704, 176.4395, -48.8146
705, 176.4410, -48.8002
706, 176.4177, -48.8159
707, 176.4192, -48.8016
708, 176.4425, -48.7859
709, 176.4441, -48.7715
710, 176.4208, -48.7872
711, 176.4223, -48.7728
712, 176.3959, -48.8173
713, 176.3975, -48.8029
714, 176.3741, -48.8186
715, 176.3757, -48.8042
716, 176.3990, -48.7885
717, 176.4005, -48.7742
718, 176.3772, -48.7899
719, 176.3787, -48.7755
720, 176.4456, -48.7571
721, 176.4471, -48.7427
722, 176.4238, -48.7584
723, 176.4253, -48.7441
724, 176.4486, -48.7283
725, 176.4501, -48.7140
726, 176.4269, -48.7297
727, 176.4284, -48.7153
728, 176.4021, -48.7598
729, 176.4036, -48.7454
730, 176.3803, -48.7611
731, 176.3818, -48.7467
732, 176.4051, -48.7310
733, 176.4066, -48.7167
734, 176.3834, -48.7324
735, 176.3849, -48.7180
736, 176.3523, -48.8200
737, 176.3539, -48.8056
738, 176.3305, -48.8213
739, 176.3321, -48.8069
740, 176.3554, -48.7912
741, 176.3570, -48.7768
742, 176.3336, -48.7925
743, 176.3352, -48.7782
744, 176.3087, -48.8226
745, 176.3103, -48.8082
746, 176.2870, -48.8239
747, 176.2885, -48.8095
748, 176.3119, -48.7939
749, 176.3134, -48.7795
750, 176.2901, -48.7952
751, 176.2916, -48.7808
752, 176.3585, -48.7625
753, 176.3601, -48.7481
754, 176.3368, -48.7638
755, 176.3383, -48.7494
756, 176.3616, -48.7337
757, 176.3631, -48.7193
758, 176.3398, -48.7350
759, 176.3414, -48.7207
760, 176.3150, -48.7651
761, 176.3165, -48.7507
762, 176.2932, -48.7664
763, 176.2948, -48.7521
764, 176.3181, -48.7364
765, 176.3196, -48.7220
766, 176.2963, -48.7377
767, 176.2979, -48.7233
768, 176.6255, -48.6887
769, 176.6270, -48.6743
770, 176.6038, -48.6901
771, 176.6053, -48.6757
772, 176.6284, -48.6599
773, 176.6299, -48.6455
774, 176.6067, -48.6613
775, 176.6082, -48.6469
776, 176.5821, -48.6914
777, 176.5835, -48.6771
778, 176.5603, -48.6928
779, 176.5618, -48.6784
780, 176.5850, -48.6627
781, 176.5865, -48.6483
782, 176.5633, -48.6641
783, 176.5648, -48.6497
784, 176.6314, -48.6312
785, 176.6328, -48.6168
786, 176.6097, -48.6325
787, 176.6111, -48.6182
788, 176.6343, -48.6024
789, 176.6358, -48.5880
790, 176.6126, -48.6038
791, 176.6141, -48.5894
792, 176.5880, -48.6339
793, 176.5894, -48.6195
794, 176.5663, -48.6353
795, 176.5677, -48.6209
796, 176.5909, -48.6052
797, 176.5924, -48.5908
798, 176.5692, -48.6065
799, 176.5707, -48.5922
800, 176.5386, -48.6942
801, 176.5401, -48.6798
802, 176.5169, -48.6955
803, 176.5184, -48.6812
804, 176.5416, -48.6654
805, 176.5431, -48.6510
806, 176.5198, -48.6668
807, 176.5213, -48.6524
808, 176.4951, -48.6969
809, 176.4966, -48.6825
810, 176.4734, -48.6982
811, 176.4749, -48.6839
812, 176.4981, -48.6681
813, 176.4996, -48.6538
814, 176.4764, -48.6695
815, 176.4779, -48.6551
816, 176.5445, -48.6367
817, 176.5460, -48.6223
818, 176.5228, -48.6380
819, 176.5243, -48.6237
820, 176.5475, -48.6079
821, 176.5490, -48.5935
822, 176.5258, -48.6093
823, 176.5273, -48.5949
824, 176.5011, -48.6394
825, 176.5026, -48.6250
826, 176.4794, -48.6407
827, 176.4809, -48.6264
828, 176.5041, -48.6106
829, 176.5056, -48.5963
830, 176.4824, -48.6120
831, 176.4839, -48.5976
832, 176.6372, -48.5737
833, 176.6387, -48.5593
834, 176.6155, -48.5750
835, 176.6170, -48.5607
836, 176.6401, -48.5449
837, 176.6416, -48.5305
838, 176.6185, -48.5463
839, 176.6199, -48.5319
840, 176.5938, -48.5764
841, 176.5953, -48.5620
842, 176.5722, -48.5778
843, 176.5736, -48.5634
844, 176.5968, -48.5477
845, 176.5983, -48.5333
846, 176.5751, -48.5490
847, 176.5766, -48.5347
848, 176.6430, -48.5161
849, 176.6445, -48.5018
850, 176.6214, -48.5175
851, 176.6228, -48.5031
852, 176.6459, -48.4874
853, 176.6474, -48.4730
854, 176.6243, -48.4888
855, 176.6258, -48.4744
856, 176.5997, -48.5189
857, 176.6012, -48.5045
858, 176.5781, -48.5203
859, 176.5795, -48.5059
860, 176.6027, -48.4901
861, 176.6041, -48.4758
862, 176.5810, -48.4915
863, 176.5825, -48.4771
864, 176.5505, -48.5792
865, 176.5520, -48.5648
866, 176.5288, -48.5805
867, 176.5303, -48.5661
868, 176.5534, -48.5504
869, 176.5549, -48.5360
870, 176.5318, -48.5518
871, 176.5333, -48.5374
872, 176.5071, -48.5819
873, 176.5086, -48.5675
874, 176.4854, -48.5832
875, 176.4869, -48.5689
876, 176.5101, -48.5531
877, 176.5116, -48.5388
878, 176.4884, -48.5545
879, 176.4899, -48.5401
880, 176.5564, -48.5216
881, 176.5579, -48.5073
882, 176.5347, -48.5230
883, 176.5362, -48.5086
884, 176.5594, -48.4929
885, 176.5608, -48.4785
886, 176.5377, -48.4943
887, 176.5392, -48.4799
888, 176.5131, -48.5244
889, 176.5146, -48.5100
890, 176.4914, -48.5257
891, 176.4929, -48.5114
892, 176.5161, -48.4956
893, 176.5176, -48.4812
894, 176.4944, -48.4970
895, 176.4959, -48.4826
896, 176.4516, -48.6996
897, 176.4532, -48.6852
898, 176.4299, -48.7009
899, 176.4314, -48.6866
900, 176.4547, -48.6708
901, 176.4562, -48.6565
902, 176.4330, -48.6722
903, 176.4345, -48.6578
904, 176.4082, -48.7023
905, 176.4097, -48.6879
906, 176.3864, -48.7036
907, 176.3880, -48.6892
908, 176.4112, -48.6735
909, 176.4127, -48.6592
910, 176.3895, -48.6749
911, 176.3910, -48.6605
912, 176.4577, -48.6421
913, 176.4592, -48.6277
914, 176.4360, -48.6434
915, 176.4375, -48.6291
916, 176.4607, -48.6133
917, 176.4622, -48.5990
918, 176.4390, -48.6147
919, 176.4405, -48.6003
920, 176.4143, -48.6448
921, 176.4158, -48.6304
922, 176.3926, -48.6461
923, 176.3941, -48.6317
924, 176.4173, -48.6160
925, 176.4188, -48.6017
926, 176.3956, -48.6174
927, 176.3971, -48.6030
928, 176.3647, -48.7050
929, 176.3662, -48.6906
930, 176.3429, -48.7063
931, 176.3445, -48.6919
932, 176.3678, -48.6762
933, 176.3693, -48.6618
934, 176.3460, -48.6775
935, 176.3476, -48.6632
936, 176.3212, -48.7076
937, 176.3228, -48.6932
938, 176.2995, -48.7089
939, 176.3010, -48.6946
940, 176.3243, -48.6789
941, 176.3259, -48.6645
942, 176.3026, -48.6802
943, 176.3041, -48.6658
944, 176.3708, -48.6475
945, 176.3724, -48.6331
946, 176.3491, -48.6488
947, 176.3507, -48.6344
948, 176.3739, -48.6187
949, 176.3754, -48.6043
950, 176.3522, -48.6200
951, 176.3537, -48.6057
952, 176.3274, -48.6501
953, 176.3290, -48.6357
954, 176.3057, -48.6514
955, 176.3072, -48.6371
956, 176.3305, -48.6214
957, 176.3320, -48.6070
958, 176.3088, -48.6227
959, 176.3103, -48.6083
960, 176.4637, -48.5846
961, 176.4652, -48.5702
962, 176.4421, -48.5859
963, 176.4436, -48.5716
964, 176.4668, -48.5558
965, 176.4683, -48.5415
966, 176.4451, -48.5572
967, 176.4466, -48.5428
968, 176.4204, -48.5873
969, 176.4219, -48.5729
970, 176.3987, -48.5886
971, 176.4002, -48.5742
972, 176.4234, -48.5585
973, 176.4249, -48.5442
974, 176.4017, -48.5599
975, 176.4032, -48.5455
976, 176.4698, -48.5271
977, 176.4713, -48.5127
978, 176.4481, -48.5284
979, 176.4496, -48.5141
980, 176.4728, -48.4983
981, 176.4743, -48.4840
982, 176.4511, -48.4997
983, 176.4526, -48.4853
984, 176.4264, -48.5298
985, 176.4280, -48.5154
986, 176.4048, -48.5311
987, 176.4063, -48.5167
988, 176.4295, -48.5010
989, 176.4310, -48.4867
990, 176.4078, -48.5024
991, 176.4093, -48.4880
992, 176.3770, -48.5900
993, 176.3785, -48.5756
994, 176.3553, -48.5913
